ID,smiles,IC50,WT_score,Mut_score,score_diff,RMSD_diff,WT pose dist to mutation,Mut pose dist to mutation
OSM-S-559,CC1(C)OCC(COc2cncc3nnc(-c4ccc(OC(F)F)cc4)n23)(c2ccc(F)c(F)c2)O1,0.149,-7.5,-8.8,1.3000000000000007,9.092248857008798,1.466528987339483,3.849201434324739
OSM-S-560,OCC(O)(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)c1ccc(F)c(F)c1,0.5545,-8.6,-9.0,0.40000000000000036,0.612014752389889,5.50271129095383,5.496891259655595
OSM-S-561,CC(=O)COc1nccn2c(-c3ccc(OC(F)F)cc3)nnc12,25.0,-7.7,-7.5,-0.20000000000000018,0.9888942267334089,2.1493059660852842,3.0521415037547728
OSM-S-562,CC1(C)OCC(COc2cncc3nnc(-c4ccc(OC(F)F)cc4)n23)(c2ccccc2)O1,0.337,-7.9,-8.5,0.5999999999999996,7.261430158114617,5.846819081161069,4.37117575395747
OSM-S-563,FC(F)Oc1ccc(-c2nnc3c(NCc4ccccc4)nccn23)cc1,20.0,-8.8,-8.6,-0.20000000000000107,1.764641050104606,2.423168488048223,3.683897748864003
OSM-S-565,OCC(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)c1ccccc1OCc1ccccc1,25.0,-9.2,-9.3,0.10000000000000142,0.11653512731119245,5.373436342912532,5.420242993420853
OSM-S-566,FC(F)Oc1ccc(-c2nnc3cncc(OCCc4ccc(OCc5ccccc5)cc4)n23)cc1,3.849,-9.3,-8.2,-1.1000000000000014,6.618770966811823,1.2479342077657014,3.31080005102627
OSM-S-567,FC(F)Oc1ccc(-c2nnc3cncc(OCCc4cccc(OCc5ccccc5)c4)n23)cc1,0.147,-8.5,-8.8,0.3000000000000007,1.6191340706960895,2.5233585954280837,3.662563308449987
OSM-S-568,CN(C)c1ccc(C(O)(CO)COc2cncc3nnc(-c4ccc(OC(F)F)cc4)n23)cc1,25.0,-8.1,-8.2,0.09999999999999964,0.3417413333047222,3.42465725588679,3.5949700309831756
OSM-S-569,FC(F)Oc1ccc(-c2nnc3c(NCCc4ccccc4)nccn23)cc1,25.0,-8.6,-8.8,0.20000000000000107,0.68445656772614,2.845861090052161,3.4867004757939544
OSM-S-581,Fc1ccc(CCOc2cncc3nnc(-n4ccnc4)n23)cc1F,25.0,-8.4,-8.5,0.09999999999999964,0.03907787097578368,5.933547780931848,5.958637199668079
OSM-S-582,Cn1ccc2ccc(-c3nnc4cncc(OCCc5ccc(F)c(F)c5)n34)cc21,0.375,-7.2,-7.3,0.09999999999999964,4.699300455032288,1.2703231540723332,3.1852981497420974
OSM-S-583,O=C1Cc2ccc(-c3nnc4cncc(OCCc5ccc(F)c(F)c5)n34)cc2N1,25.0,-8.7,-9.3,0.6000000000000014,6.170680029968987,7.081686015002326,2.2535099990485845
OSM-S-584,Fc1ccc(CCOc2cncc3nnc(-c4ccc5c(c4)NCC5)n23)cc1F,1.01,-8.5,-8.3,-0.1999999999999993,7.37191431945145,1.2810721658993798,2.436127908465022
OSM-S-585,Nc1cc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)ccc1F,0.813,-8.6,-8.7,0.09999999999999964,0.10897660299348684,5.135690057737268,5.154648626048517
OSM-S-570,FC(F)Oc1ccc(-c2nnc3c(SCc4ccccc4)nccn23)cc1,5.62,-8.7,-9.0,0.3000000000000007,1.3689516940859312,2.3885835610240997,3.57287313770881
OSM-S-571,FC(F)Oc1ccc(-c2nnc3cncc(SCCc4ccccc4)n23)cc1,1.05,-7.8,-7.8,0.0,0.03759939209235033,3.922933038103696,3.9158933333325767
OSM-S-572,CC(C)(C)OC(=O)N1CCC(c2nnc3cncc(OCCc4ccccc4)n23)CC1,14.5,-8.1,-7.8,-0.2999999999999998,6.978234236862225,1.9133578408502512,5.709533779306005
OSM-S-573,c1ccc(CCOc2cncc3nnc(C4CCOCC4)n23)cc1,25.0,-7.5,-7.8,0.2999999999999998,4.229839792080389,5.715873127186708,4.326697322957558
OSM-S-574,CC(C)(C)OC(=O)N1CCC(c2nnc3cncc(OCCc4ccccc4)n23)C1,25.0,-7.8,-8.3,0.5000000000000009,7.510087054533168,1.475416739555195,2.884557996124988
